t,b,s,h,l,v
1580005846,8325.77,8326.85,8420,8282.25,22176.701068
1580005846,8325.82,8326.85,8420,8282.25,22176.472033
1580005846,8325.85,8326.85,8420,8282.25,22176.472033
1580005846,8325.85,8326.85,8420,8282.25,22176.472033
1580005846,8325.9,8326.85,8420,8282.25,22176.472033
1580005846,8325.9,8326.85,8420,8282.25,22176.472033
1580005846,8325.82,8326.84,8420,8282.25,22176.472033
1580005846,8325.85,8326.83,8420,8282.25,22176.472033
1580005847,8325.85,8326.82,8420,8282.25,22176.472033
1580005847,8325.85,8326.81,8420,8282.25,22176.472033
1580005847,8325.85,8326.8,8420,8282.25,22176.473391
1580005847,8325.89,8326.8,8420,8282.25,22176.473391
1580005847,8325.92,8326.8,8420,8282.25,22176.473391
1580005847,8325.95,8326.8,8420,8282.25,22176.473391
1580005848,8326.04,8326.8,8420,8282.25,22176.473391
1580005848,8326.07,8326.8,8420,8282.25,22176.473391
1580005848,8326.1,8326.8,8420,8282.25,22176.473391
1580005848,8326.18,8326.8,8420,8282.25,22176.473391
1580005848,8326.19,8326.78,8420,8282.25,22176.473391
1580005849,8326.26,8326.78,8420,8282.25,22176.491454
1580005849,8325.68,8326.74,8420,8282.25,22176.491454
1580005849,8325.39,8326.67,8420,8282.25,22176.491454
1580005849,8325.48,8326.66,8420,8282.25,22176.491454
1580005849,8325.48,8326.66,8420,8282.25,22176.491454
1580005849,8325.48,8326.66,8420,8282.25,22176.491454
1580005849,8325.48,8326.66,8420,8282.25,22176.491454
1580005849,8325.47,8326.65,8420,8282.25,22176.491454
1580005850,8325.47,8326.63,8420,8282.25,22176.491454
1580005850,8325.47,8326.63,8420,8282.25,22176.491454
1580005850,8325.47,8326.63,8420,8282.25,22176.491454
1580005850,8325.47,8326.63,8420,8282.25,22176.491454
1580005850,8325.47,8326.63,8420,8282.25,22176.836084
1580005850,8325.52,8326.11,8420,8282.25,22176.836084
1580005850,8325.55,8326.1,8420,8282.25,22176.836084
1580005850,8325.55,8326.1,8420,8282.25,22176.841194
1580005850,8325.55,8326.1,8420,8282.25,22176.841194
1580005850,8325.55,8326.1,8420,8282.25,22176.841194
1580005851,8325.54,8326.1,8420,8282.25,22176.841194
1580005851,8325.59,8326.12,8420,8282.25,22176.841194
1580005851,8325.62,8326.11,8420,8282.25,22176.441194
1580005851,8325.62,8326.1,8420,8282.25,22176.441194
1580005851,8325.62,8326.09,8420,8282.25,22176.422707
1580005851,8325.62,8326.1,8420,8282.25,22176.356374
1580005851,8325.61,8326.43,8420,8282.25,22176.356374
1580005852,8325.61,8326.42,8420,8282.25,22176.356374
1580005852,8325.59,8326.42,8420,8282.25,22176.356374
1580005852,8325.59,8326.42,8420,8282.25,22176.356374
1580005852,8325.6,8326.64,8420,8282.25,22176.256374
1580005852,8325.6,8326.42,8420,8282.25,22176.122384
1580005852,8325.59,8326.42,8420,8282.25,22176.112387
1580005852,8325.59,8326.42,8420,8282.25,22176.112387
1580005852,8325.59,8326.41,8420,8282.25,22175.777491
1580005852,8325.59,8326.41,8420,8282.25,22175.777491
1580005852,8325.63,8326.41,8420,8282.25,22175.691789
1580005853,8325.66,8326.38,8420,8282.25,22175.62703
1580005853,8325.66,8326.37,8420,8282.25,22175.62703
1580005853,8325.64,8326.35,8420,8282.25,22175.562927
1580005853,8325.64,8326.35,8420,8282.25,22175.502641
1580005853,8325.68,8326.35,8420,8282.25,22175.502641
1580005853,8325.71,8326.35,8420,8282.25,22175.442518
1580005854,8325.79,8326.83,8420,8282.25,22175.382263
1580005854,8325.82,8326.82,8420,8282.25,22175.317616
1580005854,8325.83,8326.82,8420,8282.25,22175.257353
1580005854,8325.87,8326.82,8420,8282.25,22175.257353
1580005854,8325.9,8326.82,8420,8282.25,22175.257353
1580005854,8325.9,8326.82,8420,8282.25,22175.197286
1580005854,8325.95,8326.82,8420,8282.25,22175.197286
1580005854,8325.98,8326.82,8420,8282.25,22175.136866
1580005855,8325.98,8326.81,8420,8282.25,22175.130368
1580005855,8325.98,8326.8,8420,8282.25,22175.070328
1580005855,8325.98,8326.8,8420,8282.25,22175.070328
1580005855,8325.97,8326.8,8420,8282.25,22175.070328
1580005855,8325.96,8326.8,8420,8282.25,22175.010073
1580005855,8325.66,8326.78,8420,8282.25,22176.511325
1580005855,8323.95,8326.7,8420,8282.25,22177.319641
1580005855,8323.96,8326.62,8420,8282.25,22177.322032
1580005855,8323.96,8326.02,8420,8282.25,22177.322032
1580005856,8323.96,8325.86,8420,8282.25,22177.322032
1580005856,8323.96,8325.82,8420,8282.25,22177.322032
1580005856,8323.96,8325.62,8420,8282.25,22177.322032
1580005856,8323.96,8325.52,8420,8282.25,22177.322032
1580005856,8323.96,8325.45,8420,8282.25,22177.295209
1580005856,8323.96,8325.36,8420,8282.25,22177.295209
1580005856,8323.96,8325.27,8420,8282.25,22177.295209
1580005856,8323.96,8325.22,8420,8282.25,22177.295209
1580005856,8323.96,8325.14,8420,8282.25,22177.295209
